pango                    Framework for layout and rendering of i18n text                               https://pango.gnome.org
parallel                 Shell command parallelization utility                                         https://savannah.gnu.org/projects/parallel/
pbzip2                   Parallel bzip2                                                                https://web.archive.org/web/20180226093549/compression.ca/pbzip2/
pcre2                    Perl compatible regular expressions library with a new API                    https://www.pcre.org/
pgcli                    CLI for Postgres with auto-completion and syntax highlighting                 https://pgcli.com/
pgformatter              PostgreSQL syntax beautifier                                                  https://sqlformat.darold.net/
pidof                    Display the PID number for a given process name                               http://www.nightproductions.net/cli.htm
pinentry-mac             Pinentry for GPG on Mac                                                       https://github.com/GPGTools/pinentry
pkg-config               Manage compile and link flags for libraries                                   https://freedesktop.org/wiki/Software/pkg-config/
poppler                  PDF rendering library (based on the xpdf-3.0 code base)                       https://poppler.freedesktop.org/
postgresql@15            Object-relational database system                                             https://www.postgresql.org/
pstree                   Show ps output as a tree                                                      https://github.com/FredHucht/pstree
pup                      Parse HTML at the command-line                                                https://github.com/EricChiang/pup
pv                       Monitor data's progress through a pipe                                        https://www.ivarch.com/programs/pv.shtml
pwgen                    Password generator                                                            https://pwgen.sourceforge.net/
pyenv                    Python version management                                                     https://github.com/pyenv/pyenv
pyenv-virtualenvwrapper  Alternative to pyenv for managing virtualenvs                                 https://github.com/pyenv/pyenv-virtualenvwrapper
qemu                     Generic machine emulator and virtualizer                                      https://www.qemu.org/
qt                       Cross-platform application and UI framework                                   https://www.qt.io/
r                        Software environment for statistical computing                                https://www.r-project.org/
radare2                  Reverse engineering framework                                                 https://radare.org
readline                 Library for command-line editing                                              https://tiswww.case.edu/php/chet/readline/rltop.html
redis                    Persistent key-value database, with built-in net interface                    https://redis.io/
rlwrap                   Readline wrapper: adds readline support to tools that lack it                 https://github.com/hanslub42/rlwrap
ruby                     Powerful, clean, object-oriented scripting language                           https://www.ruby-lang.org/
rustup-init              Rust toolchain installer                                                      https://github.com/rust-lang/rustup
sassc                    Wrapper around libsass that helps to create command-line apps                 https://github.com/sass/sassc
sd                       Intuitive find & replace CLI                                                  https://github.com/chmln/sd
shellcheck               Static analysis and lint tool, for (ba)sh scripts                             https://www.shellcheck.net/
shfmt                    Autoformat shell script source code                                           https://github.com/mvdan/sh
sl                       Prints a steam locomotive if you type sl instead of ls                        https://github.com/mtoyoda/sl
slurm                    Yet another network load monitor                                              https://github.com/mattthias/slurm/wiki/
speedtest-cli            Command-line interface for https://speedtest.net bandwidth tests              https://github.com/sivel/speedtest-cli
sphinx-doc               Tool to create intelligent and beautiful documentation                        https://www.sphinx-doc.org/
subversion               Version control system designed to be a better CVS                            https://subversion.apache.org/
swiftformat              Formatting tool for reformatting Swift code                                   https://github.com/nicklockwood/SwiftFormat
swig                     Generate scripting interfaces to C/C++ code                                   https://www.swig.org/
telnet                   User interface to the TELNET protocol                                         https://opensource.apple.com/
tesseract                OCR (Optical Character Recognition) engine                                    https://github.com/tesseract-ocr/
tesseract-lang           Enables extra languages support for Tesseract                                 https://github.com/tesseract-ocr/tessdata_fast/
texi2html                Convert TeXinfo files to HTML                                                 https://www.nongnu.org/texi2html/
trash                    CLI tool that moves files or folder to the trash                              https://hasseg.org/trash/
tree                     Display directories as trees (with optional color/HTML output)                https://oldmanprogrammer.net/source.php?dir=projects/tree
uncrustify               Source code beautifier                                                        https://uncrustify.sourceforge.net/
universal-ctags          Maintained ctags implementation                                               https://github.com/universal-ctags/ctags
vim                      Vi 'workalike' with many additional features                                  https://www.vim.org/
vnu                      Nu Markup Checker: command-line and server HTML validator                     https://validator.github.io/validator/
fq                       jq for binary formats                                                         https://github.com/wader/fq
watch                    Executes a program periodically, showing output fullscreen                    https://gitlab.com/procps-ng/procps
